study,year,location,state,cultivar,data_sowing,group,active_ingredient,n,inc_check,yld_check,region,mean_inc,mean_yld,log_inc,vi_inc
1,2012,Dourados,MS,BRS 208,16/03/2012,check,AACHECK,4,93.3,1097,North,93.3,1097,4.535820107853298,0.0021088876347063125
1,2012,Dourados,MS,BRS 208,16/03/2012,DMI,TEBU,4,93.3,1097,North,67.8,1528,4.216562194946349,0.003993533575777846
1,2012,Dourados,MS,BRS 208,16/03/2012,QoI+DMI,AZOX+TEBU,4,93.3,1097,North,73.75,1340,4.28427574184569,0.003720387944497097
1,2012,Dourados,MS,BRS 208,16/03/2012,QoI+DMI,PYRA+EPOX,4,93.3,1097,North,80.0375,1315,4.379805497583548,0.0029122330728691363
1,2012,Dourados,MS,BRS 208,16/03/2012,QoI+DMI,TFLX+PROT,4,93.3,1097,North,84.4,1242,4.4355674016019115,0.0025771033448370754
1,2012,Dourados,MS,BRS 208,16/03/2012,QoI+DMI,TFLX+TEBU,4,93.3,1097,North,77.075,1450,4.344778973772214,0.0030902218649755727
2,2012,Palotina,PR,BRS 208,15/04/2012,check,AACHECK,4,40.5,1219.375,South,40.5,1219.375,3.7013019741124933,0.019794512249930635
2,2012,Palotina,PR,BRS 208,15/04/2012,DMI,TEBU,4,40.5,1219.375,South,41.5,1570.835,3.7256934272366524,0.018852053254724183
2,2012,Palotina,PR,BRS 208,15/04/2012,QoI+DMI,AZOX+TEBU,4,40.5,1219.375,South,46.75,1555.5212499999998,3.8415867259874386,0.015145507521366335
2,2012,Palotina,PR,BRS 208,15/04/2012,QoI+DMI,PYRA+EPOX,4,40.5,1219.375,South,32.5,1553.5425,3.481240089335692,0.03073888636018814
2,2012,Palotina,PR,BRS 208,15/04/2012,QoI+DMI,TFLX+PROT,4,40.5,1219.375,South,55.5,1731.4575,4.0163830207523885,0.010540686216361894
2,2012,Palotina,PR,BRS 208,15/04/2012,QoI+DMI,TFLX+TEBU,4,40.5,1219.375,South,40.25,1540.0825,3.6951100038645723,0.020041170459749992
3,2012,Londrina,PR,MARFIM,07/04/2012,check,AACHECK,4,100,495.1225,South,100,495.1225,4.605170185988092,9.724272985662137e-4
3,2012,Londrina,PR,MARFIM,07/04/2012,DMI,TEBU,4,100,495.1225,South,78.25,1022.31,4.359908829420263,0.0015881387762516123
3,2012,Londrina,PR,MARFIM,07/04/2012,QoI+DMI,AZOX+TEBU,4,100,495.1225,South,81.375,985.27,4.399066920728332,0.001468514412688395
3,2012,Londrina,PR,MARFIM,07/04/2012,QoI+DMI,PYRA+EPOX,4,100,495.1225,South,91.125,732.3187499999999,4.512118335943384,0.0011718680532307368
3,2012,Londrina,PR,MARFIM,07/04/2012,QoI+DMI,TFLX+PROT,4,100,495.1225,South,89,885.4,4.48863636973214,0.001227657238437336
3,2012,Londrina,PR,MARFIM,07/04/2012,QoI+DMI,TFLX+TEBU,4,100,495.1225,South,70.5,933.99,4.255612709818223,0.0019564957468260423
4,2012,Planaltina,DF,BRS 208,09/03/2012,check,AACHECK,4,35.5,1747.4375,North,35.5,1747.4375,3.56953269648137,0.017266370308921395
4,2012,Planaltina,DF,BRS 208,09/03/2012,DMI,TEBU,4,35.5,1747.4375,North,19.25,2191.625,2.9575110607337933,0.05872138487250649
4,2012,Planaltina,DF,BRS 208,09/03/2012,QoI+DMI,AZOX+TEBU,4,35.5,1747.4375,North,21,2073.4375,3.0324010666524583,0.05303412710466875
4,2012,Planaltina,DF,BRS 208,09/03/2012,QoI+DMI,PYRA+EPOX,4,35.5,1747.4375,North,32.75,1885.875,3.488902962081261,0.0202878090384646
4,2012,Planaltina,DF,BRS 208,09/03/2012,QoI+DMI,TFLX+PROT,4,35.5,1747.4375,North,25.75,2007.9375,3.248434627109745,0.03281733348186361
4,2012,Planaltina,DF,BRS 208,09/03/2012,QoI+DMI,TFLX+TEBU,4,35.5,1747.4375,North,18.5,2279.375,2.917770732084279,0.06357908891692678
5,2012,Itaberá,SP,BRS 208,20/02/2012,check,AACHECK,4,7.7124999999999995,2148.3075,South,7.7124999999999995,2148.3075,2.042842389231506,0.008775625292808613
