study,year,location,state,cultivar,data_sowing,group,active_ingredient,n,sev_check,yld_check,region,mean_sev,mean_yld,log_sev,vi_sev
1,2012,Dourados,MS,BRS 208,16/03/2012,check,AACHECK,4,73.57499999999999,1097,North,73.57499999999999,1097,4.298305294119536,0.002127011333622298
1,2012,Dourados,MS,BRS 208,16/03/2012,DMI,TEBU,4,73.57499999999999,1097,North,53.1,1528,3.9721769282478934,0.0040835822122396335
1,2012,Dourados,MS,BRS 208,16/03/2012,QoI+DMI,AZOX+TEBU,4,73.57499999999999,1097,North,56.5375,1340,4.020082473616768,0.003933763744351508
1,2012,Dourados,MS,BRS 208,16/03/2012,QoI+DMI,PYRA+EPOX,4,73.57499999999999,1097,North,62.400000000000006,1315,4.1278972490674075,0.0030589722483558976
1,2012,Dourados,MS,BRS 208,16/03/2012,QoI+DMI,TFLX+PROT,4,73.57499999999999,1097,North,68.55,1242,4.227563406008323,0.002450278375807507
1,2012,Dourados,MS,BRS 208,16/03/2012,QoI+DMI,TFLX+TEBU,4,73.57499999999999,1097,North,62.6,1450,4.136765278106052,0.0029382021969839934
2,2012,Palotina,PR,BRS 208,15/04/2012,check,AACHECK,4,28.64,1219.375,South,28.64,1219.375,3.3548043420924447,0.010334479526292448
2,2012,Palotina,PR,BRS 208,15/04/2012,DMI,TEBU,4,28.64,1219.375,South,18.06,1570.835,2.8936995479888394,0.02598957301688346
2,2012,Palotina,PR,BRS 208,15/04/2012,QoI+DMI,AZOX+TEBU,4,28.64,1219.375,South,12.228750000000002,1555.5212499999998,2.4933090037942756,0.06033842087799411
2,2012,Palotina,PR,BRS 208,15/04/2012,QoI+DMI,PYRA+EPOX,4,28.64,1219.375,South,16.56375,1553.5425,2.806861615180777,0.03096292779989577
2,2012,Palotina,PR,BRS 208,15/04/2012,QoI+DMI,TFLX+PROT,4,28.64,1219.375,South,10.6675,1731.4575,2.367201736080018,0.07449194834134455
2,2012,Palotina,PR,BRS 208,15/04/2012,QoI+DMI,TFLX+TEBU,4,28.64,1219.375,South,17.945,1540.0825,2.8873115245995704,0.026323747184380897
3,2012,Londrina,PR,MARFIM,07/04/2012,check,AACHECK,4,92.8625,495.1225,South,92.8625,495.1225,4.531119904477925,0.0012620985646019875
3,2012,Londrina,PR,MARFIM,07/04/2012,DMI,TEBU,4,92.8625,495.1225,South,57.2375,1022.31,4.047209277983214,0.003322100009554182
3,2012,Londrina,PR,MARFIM,07/04/2012,QoI+DMI,AZOX+TEBU,4,92.8625,495.1225,South,58.59375,985.27,4.070590709411574,0.003170798827833642
