study,year,location,state,cultivar,data_sowing,group,active_ingredient,n,index_check,yld_check,region,mean_index,mean_yld,log_index,vi_index
1,2012,Dourados,MS,BRS 208,16/03/2012,check,AACHECK,4,68.653275,1097,North,68.653275,1097,4.229068836829921,0.005044690651546135
1,2012,Dourados,MS,BRS 208,16/03/2012,DMI,TEBU,4,68.653275,1097,North,35.998675000000006,1528,3.5834821322232133,0.01834780122937176
1,2012,Dourados,MS,BRS 208,16/03/2012,QoI+DMI,AZOX+TEBU,4,68.653275,1097,North,42.9923,1340,3.699637962165819,0.01834383246766713
1,2012,Dourados,MS,BRS 208,16/03/2012,QoI+DMI,PYRA+EPOX,4,68.653275,1097,North,50.357425000000006,1315,3.903102735905522,0.010313402561762197
1,2012,Dourados,MS,BRS 208,16/03/2012,QoI+DMI,TFLX+PROT,4,68.653275,1097,North,57.725375,1242,4.055696851538211,0.007135485580027952
1,2012,Dourados,MS,BRS 208,16/03/2012,QoI+DMI,TFLX+TEBU,4,68.653275,1097,North,48.279625,1450,3.8770096290077825,0.01020068372329748
2,2012,Palotina,PR,BRS 208,15/04/2012,check,AACHECK,4,11.72585,1219.375,South,11.72585,1219.375,2.461795806374241,0.014307209561672574
2,2012,Palotina,PR,BRS 208,15/04/2012,DMI,TEBU,4,11.72585,1219.375,South,7.8837,1570.835,2.064797336816107,0.03165070788850322
2,2012,Palotina,PR,BRS 208,15/04/2012,QoI+DMI,AZOX+TEBU,4,11.72585,1219.375,South,5.8507,1555.5212499999998,1.7662555921095715,0.0575737371029283
2,2012,Palotina,PR,BRS 208,15/04/2012,QoI+DMI,PYRA+EPOX,4,11.72585,1219.375,South,5.0636,1553.5425,1.621169567331609,0.07714179812985965
2,2012,Palotina,PR,BRS 208,15/04/2012,QoI+DMI,TFLX+PROT,4,11.72585,1219.375,South,5.8633750000000004,1731.4575,1.7687253763665112,0.057220054231009454
2,2012,Palotina,PR,BRS 208,15/04/2012,QoI+DMI,TFLX+TEBU,4,11.72585,1219.375,South,7.564649999999999,1540.0825,2.023486080472739,0.03437683812114471
